country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Micronesia, Fed. Sts.",,,,,,,3,3,3,3,3,3,3,3,2.5
Moldova,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,3.5,3.5,3.5,3.5,3.5
Mongolia,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4
Mozambique,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3,3,3,3
Myanmar,,,,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Nepal,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4
Nicaragua,4,4,4,4,3.5,4,4,4,4,4,4,4,4,4,4
Niger,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
Nigeria,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Pakistan,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Papua New Guinea,3,3,3.5,3,3.5,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Rwanda,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4
Samoa,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Sao Tome and Principe,3.5,3.5,3,3,3,3,3,3,3,3,3,3,3,3,3
Senegal,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4
Serbia,4,3,,,,,,,,,,,,,
Sierra Leone,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Solomon Islands,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Somalia,,,,,,,,,,,,,2,,3
South Sudan,,,,,,,,2.5,2.5,2,2,2,2,2,2
Sri Lanka,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,3.5
St. Lucia,3.5,3.5,4,4,4,4,3.5,3.5,3.5,4,4,4,4,4,4
St. Vincent and the Grenadines,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3.5
Sudan,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Tajikistan,3,3,3.5,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Tanzania,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Timor-Leste,,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Togo,2,2,2,2,2,2.5,3,3,3.5,3.5,3.5,3.5,3.5,3.5,4
Tonga,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4.5
Tuvalu,,,,,,,,3,3,3,3,3,3,3,3
Uganda,4.5,4.5,4.5,4,4,4,4,4,4,4,4,4,4,4,4
Uzbekistan,3.5,3.5,3.5,3.5,3.5,4,4,4,4,3.5,3.5,3.5,3.5,3.5,4
Vanuatu,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3
Vietnam,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,
Yemen,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,2.5,2.5,2.5,2.5
Zambia,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3
Zimbabwe,1.5,1.5,1.5,1,1.5,2,2,2,2,2.5,3,3,3,3.5,3.5
